case_SUMleges_seq,action_code_seq,activityNameEN_seq,case_caseStatus_seq,case_Responsible_actor_seq,concept_name_seq,case_last_phase_seq,case_requestComplete_seq,case_parts_seq,question_seq,case_termName_seq,monitoringResource_seq,org_resource_seq,delta,delta_p,delta_df,duration,duration_df,duration_p,cluster
71.02275/71.02275/71.02275/71.02275/71.02275/71.02275/71.02275/71.02275/71.02275/71.02275/71.02275/71.02275/71.02275/71.02275/71.02275,01HOOFD010/06VD010/05EIND010/01HOOFD0652/05EIND020/01HOOFD100/05EIND0302/01HOOFD100/05EIND0301/01HOOFD110/09AHI010/01HOOFD375/05EIND040/01HOOFD790/05EIND070,registersubmissiondaterequest/extendprocedureterm/terminateonrequest/entersenddateprocedureconfirmation/enterdateterminationrequestreceived/registrerdateofpublishingreceivedrequest/registerdatedecisionterminateonrequest/registrerdateofpublishingreceivedrequest/createdecisionterminateonrequest/treatsubcasescompleteness/article34WABOapplies/phaseadviceknown/decisionterminateonrequest/closecase/phaseprocedureaborted,G/G/G/G/G/G/G/G/G/G/G/G/G/G/G,560458/560458/560458/560458/560458/560458/560458/560458/560458/560458/560458/560458/560458/560458/560458,ArtificialStartTask/01HOOFD/06VD/05EIND/01HOOFD/05EIND/01HOOFD/05EIND/01HOOFD/05EIND/01HOOFD/09AH/01HOOFD/05EIND/01HOOFD/05EIND/ArtificialEndTask,Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken,1/1/1/1/1/1/1/1/1/1/1/1/1/1/1,EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY,EMPTY/False/True/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/False/EMPTY/EMPTY/EMPTY/EMPTY,EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY,560458/560458/560458/560458/560458/560458/560458/560458/560458/560458/560458/560458/560458/560458/560458,560530/560458/560458/560458/560530/560530/560530/560530/560530/560530/560530/560530/560530/560530/560530,0/1/3/0/3/36/3/4/0/0/0/0/0/0/9/0/0,0/1/0/0/0/46/0/-46/0/0/46/0/0/0/0,0/1/0/0/46/0/0/0/0/0/0/0/0/9/0,59,56,47,2
3494.2266/3494.2266/3494.2266/3494.2266/3494.2266/3494.2266/3494.2266/3494.2266/3494.2266/3494.2266/3494.2266/3494.2266,01HOOFD010/06VD010/05EIND010/08AWB45040/01HOOFD200/08AWB45010/01HOOFD130/09AHI010/01HOOFD370/01BB540/01HOOFD790/01BB770,registersubmissiondaterequest/extendprocedureterm/terminateonrequest/enterreceiptofadditionaldata/requestcomplete/termforsupplyingmissingdata/WAWpermitaspect/article34WABOapplies/assessmentofcontentcompleted/objectionlodgedagainstdecision/closecase/setphasephasepermittingirrevocable,G/G/G/G/G/G/G/G/G/G/G/G,560458/560458/560458/560458/560458/560458/560458/560458/560458/560458/560458/560458,ArtificialStartTask/01HOOFD/06VD/05EIND/08AWB45/01HOOFD/08AWB45/01HOOFD/09AH/01HOOFD/01BB/01HOOFD/01BB/ArtificialEndTask,Zaakafgehandeld/Zaakafgehandeld/Zaakafgehandeld/Zaakafgehandeld/Zaakafgehandeld/Zaakafgehandeld/Zaakafgehandeld/Zaakafgehandeld/Zaakafgehandeld/Zaakafgehandeld/Zaakafgehandeld/Zaakafgehandeld,1/1/1/1/1/1/1/1/1/1/1/1,Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw,EMPTY/False/False/EMPTY/False/EMPTY/False/False/EMPTY/False/EMPTY/EMPTY,EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY,560458/560458/560458/560458/560458/560458/560458/560458/560458/560458/560458/560458,560458/560458/560458/560519/560519/560519/560519/560532/560532/560458/560458/560458,0/1/8/0/6/0/0/17/6/0/43/0/0/0,0/0/0/29/-29/12/17/6/0/0/0/43,0/0/0/0/0/0/0/0/0/0/0/0,81,0,78,2
0/0/0/0/0/0/0/0/0,01HOOFD010/05EIND020/01HOOFD0652/05EIND010/01HOOFD100/05EIND070/01HOOFD110/06VD010/01HOOFD790,registersubmissiondaterequest/enterdateterminationrequestreceived/entersenddateprocedureconfirmation/terminateonrequest/registrerdateofpublishingreceivedrequest/phaseprocedureaborted/treatsubcasescompleteness/extendprocedureterm/closecase,G/G/G/G/G/G/G/G/G,560530/560530/560530/560530/560530/560530/560530/560530/560530,ArtificialStartTask/01HOOFD/05EIND/01HOOFD/05EIND/01HOOFD/05EIND/01HOOFD/06VD/01HOOFD/ArtificialEndTask,Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken,1/1/1/1/1/1/1/1/1,HandeleninstrijdmetregelsRO/HandeleninstrijdmetregelsRO/HandeleninstrijdmetregelsRO/HandeleninstrijdmetregelsRO/HandeleninstrijdmetregelsRO/HandeleninstrijdmetregelsRO/HandeleninstrijdmetregelsRO/HandeleninstrijdmetregelsRO/HandeleninstrijdmetregelsRO,EMPTY/EMPTY/EMPTY/True/EMPTY/EMPTY/EMPTY/False/EMPTY,EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY,560530/560530/560530/560530/560530/560530/560530/560530/560530,560530/560530/560530/560530/560530/560530/560530/560530/560530,0/1/21/1/0/0/0/0/0/0/0,0/14/0/0/0/0/0/0/0,0/9/0/0/0/0/0/0/0,23,9,14,2
42.15/42.15/42.15/42.15/42.15/42.15/42.15,01HOOFD0652/05EIND020/01HOOFD015/06VD010/01HOOFD050/05EIND010/01HOOFD250,entersenddateprocedureconfirmation/enterdateterminationrequestreceived/phaseapplicationreceived/extendprocedureterm/applicantisstakeholder/terminateonrequest/treatsubcasescontent,G/G/G/G/G/G/G,560458/560458/560458/560458/560458/560458/560458,ArtificialStartTask/01HOOFD/05EIND/01HOOFD/06VD/01HOOFD/05EIND/01HOOFD/ArtificialEndTask,Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken,1/1/1/1/1/1/1,BouwSloop/BouwSloop/BouwSloop/BouwSloop/BouwSloop/BouwSloop/BouwSloop,EMPTY/EMPTY/EMPTY/False/True/True/EMPTY,EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY,560458/560458/560458/560458/560458/560458/560458,560458/560458/560458/560458/560458/560458/560458,0/1/15/6/0/0/0/0/0,0/0/0/0/0/0/0,0/0/0/0/0/0/0,22,0,0,2
0/0/0/0/0/0/0,01HOOFD010/05EIND010/01HOOFD050/06VD010/01HOOFD200/09AHI010/01HOOFD370,registersubmissiondaterequest/terminateonrequest/applicantisstakeholder/extendprocedureterm/requestcomplete/article34WABOapplies/assessmentofcontentcompleted,O/O/O/O/O/O/O,560458/560458/560458/560458/560458/560458/560458,ArtificialStartTask/01HOOFD/05EIND/01HOOFD/06VD/01HOOFD/09AH/01HOOFD/ArtificialEndTask,Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend,1/1/1/1/1/1/1,Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw,EMPTY/False/True/False/True/False/EMPTY,Termijntotbesluit/Termijntotbesluit/Termijntotbesluit/Termijntotbesluit/Termijntotbesluit/Termijntotbesluit/Termijntotbesluit,560458/560458/560458/560458/560458/560458/560458,560530/560458/560458/560530/560530/560530/560521,0/1/12/0/13/0/0/0/0,0/6/0/0/0/13/0,0/6/0/13/0/0/0,26,19,19,2
0/0/0/0/0,01HOOFD010/08AWB45010/01HOOFD110/09AHI010/01HOOFD370,registersubmissiondaterequest/termforsupplyingmissingdata/treatsubcasescompleteness/article34WABOapplies/assessmentofcontentcompleted,G/G/G/G/G,560922/560922/560922/560922/560922,ArtificialStartTask/01HOOFD/08AWB45/01HOOFD/09AH/01HOOFD/ArtificialEndTask,Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend,1/1/1/1/1,EMPTY/EMPTY/EMPTY/EMPTY/EMPTY,EMPTY/EMPTY/EMPTY/False/EMPTY,Termijntotbesluit/Termijntotbesluit/Termijntotbesluit/Termijntotbesluit/Termijntotbesluit,560922/560922/560922/560922/560922,560922/560922/560922/560922/560922,0/1/21/8/0/0/0,0/17/8/0/0,0/0/8/0/0,30,8,25,3
0/0/0/0,01HOOFD010/08AWB450202/01HOOFD100/08AWB45010,registersubmissiondaterequest/entersenddateretrievemissingdata/registrerdateofpublishingreceivedrequest/termforsupplyingmissingdata,G/G/G/G,560922/560922/560922/560922,ArtificialStartTask/01HOOFD/08AWB45/01HOOFD/08AWB45/ArtificialEndTask,Aanvraagontvangen/Aanvraagontvangen/Aanvraagontvangen/Aanvraagontvangen,1/1/1/1,Milieuvergunning/Milieuvergunning/Milieuvergunning/Milieuvergunning,EMPTY/EMPTY/EMPTY/EMPTY,Termijnaanvullendegegevens/Termijnaanvullendegegevens/Termijnaanvullendegegevens/Termijnaanvullendegegevens,560749/560922/560922/560922,560749/560922/560922/560922,0/1/21/0/0/0,0/14/-14/14,0/14/0/0,22,14,14,3
795.792/795.792/795.792/795.792/795.792/795.792,01HOOFD010/09AHI010/01HOOFD370/05EIND010/06VD010/01HOOFD4901,registersubmissiondaterequest/article34WABOapplies/assessmentofcontentcompleted/terminateonrequest/extendprocedureterm/creatingenvironmentalpermitdecision,G/G/G/G/G/G,2013365/2013365/2013365/2013365/2013365/2013365,ArtificialStartTask/01HOOFD/09AH/01HOOFD/05EIND/06VD/01HOOFD/ArtificialEndTask,Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend,1/1/1/1/1/1,BouwHandeleninstrijdmetregelsRO/BouwHandeleninstrijdmetregelsRO/BouwHandeleninstrijdmetregelsRO/BouwHandeleninstrijdmetregelsRO/BouwHandeleninstrijdmetregelsRO/BouwHandeleninstrijdmetregelsRO,EMPTY/False/EMPTY/False/False/EMPTY,Termijntotbesluit/Termijntotbesluit/Termijntotbesluit/Termijntotbesluit/Termijntotbesluit/Termijntotbesluit,560741/2013365/2013365/2013365/2013365/2013365,560741/2013365/2013365/2013365/2013365/2013365,0/1/30/0/0/0/0/5,0/28/0/0/0/0,0/28/0/0/0/0,36,28,28,3
939.102/939.102/939.102/939.102/939.102/939.102/939.102,01HOOFD010/05EIND010/01HOOFD120/09AHI010/01HOOFD375/06VD010/01HOOFD5102,registersubmissiondaterequest/terminateonrequest/subcasescompletenesscompleted/article34WABOapplies/phaseadviceknown/extendprocedureterm/entersenddatedecisionenvironmentalpermit,G/G/G/G/G/G/G,560696/560696/560696/560696/560696/560696/560696,ArtificialStartTask/01HOOFD/05EIND/01HOOFD/09AH/01HOOFD/06VD/01HOOFD/ArtificialEndTask,Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend,1/1/1/1/1/1/1,BouwHandeleninstrijdmetregelsRO/BouwHandeleninstrijdmetregelsRO/BouwHandeleninstrijdmetregelsRO/BouwHandeleninstrijdmetregelsRO/BouwHandeleninstrijdmetregelsRO/BouwHandeleninstrijdmetregelsRO/BouwHandeleninstrijdmetregelsRO,EMPTY/False/EMPTY/False/EMPTY/False/EMPTY,EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY,560696/560696/2013365/2013365/560696/560696/560696,560696/2013365/2013365/2013365/2013365/2013365/560741,0/1/46/0/0/0/0/2/20,0/0/2/19/0/-21/43,0/21/0/0/0/0/22,69,43,43,3
246.999/246.999/246.999/246.999/246.999/246.999/246.999/246.999/246.999/246.999/246.999/246.999/246.999/246.999/246.999/246.999/246.999,01HOOFD010/08AWB450202/06VD0202/01HOOFD040/04BPT010/01HOOFD0651/08AWB45010/06VD070/08AWB45030/06VD050/01HOOFD4903/05EIND010/01HOOFD110/06VD140/01HOOFD120/09AHI010/01HOOFD370,registersubmissiondaterequest/entersenddateretrievemissingdata/enterdatedecisionproceduretermextension/forwardtothecompetentauthority/MERpresent/sendprocedureconfirmation/termforsupplyingmissingdata/entersenddatedecisionproceduretermextension/receiveadditionalinformation/enterobjectionterm/registerdateenvironmentalpermitdecision/terminateonrequest/treatsubcasescompleteness/decisionextensionproceduretermirrevocable/subcasescompletenesscompleted/article34WABOapplies/assessmentofcontentcompleted,G/G/G/G/G/G/G/G/G/G/G/G/G/G/G/G/G,560696/560696/560696/560696/560696/560696/560696/560696/560696/560696/560696/560696/560696/560696/560696/560696/560696,ArtificialStartTask/01HOOFD/08AWB45/06VD/01HOOFD/04BPT/01HOOFD/08AWB45/06VD/08AWB45/06VD/01HOOFD/05EIND/01HOOFD/06VD/01HOOFD/09AH/01HOOFD/ArtificialEndTask,Zaakafgehandeld/Zaakafgehandeld/Zaakafgehandeld/Zaakafgehandeld/Zaakafgehandeld/Zaakafgehandeld/Zaakafgehandeld/Zaakafgehandeld/Zaakafgehandeld/Zaakafgehandeld/Zaakafgehandeld/Zaakafgehandeld/Zaakafgehandeld/Zaakafgehandeld/Zaakafgehandeld/Zaakafgehandeld/Zaakafgehandeld,1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1,Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw,EMPTY/EMPTY/EMPTY/False/False/EMPTY/EMPTY/EMPTY/True/EMPTY/EMPTY/False/EMPTY/EMPTY/EMPTY/False/EMPTY,EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY,560741/560696/2013365/560696/560696/560696/560696/2013365/560696/2013365/2013365/560696/2013365/2013365/2013365/2013365/2013365,560741/2013365/560454/2013365/2013365/2013365/2013365/560454/560454/560454/560741/560741/560741/560741/560741/560741/560741,0/1/32/0/0/0/0/0/36/0/0/1/0/0/0/0/0/0/0,0/27/36/-63/27/0/0/36/-36/36/1/-37/36/0/1/0/0,0/27/36/-36/0/0/0/36/0/0/1/0/0/0/0/0/0,70,64,64,3
303.48/303.48/303.48/303.48/303.48/303.48,01HOOFD010/05EIND010/06VD010/01HOOFD120/09AHI010/01HOOFD370,registersubmissiondaterequest/terminateonrequest/extendprocedureterm/subcasescompletenesscompleted/article34WABOapplies/assessmentofcontentcompleted,G/G/G/G/G/G,560696/560696/560696/560696/560696/560696,ArtificialStartTask/01HOOFD/05EIND/06VD/01HOOFD/09AH/01HOOFD/ArtificialEndTask,Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend,1/1/1/1/1/1,Bouw/Bouw/Bouw/Bouw/Bouw/Bouw,EMPTY/False/False/EMPTY/False/EMPTY,Termijntotbesluit/Termijntotbesluit/Termijntotbesluit/Termijntotbesluit/Termijntotbesluit/Termijntotbesluit,560741/560696/560696/560696/560696/560696,560741/560454/560454/560454/560454/560454,0/1/39/0/0/0/0/4,0/34/0/0/0/0,0/34/0/0/0/0,44,34,34,3
3060.09/3060.09/3060.09/3060.09/3060.09/3060.09/3060.09/3060.09/3060.09/3060.09/3060.09/3060.09,01HOOFD010/08AWB450202/01HOOFD0652/08AWB45040/01HOOFD050/05EIND010/01HOOFD170/08AWB45010/06VD010/01HOOFD4903/09AHI010/01HOOFD370,registersubmissiondaterequest/entersenddateretrievemissingdata/entersenddateprocedureconfirmation/enterreceiptofadditionaldata/applicantisstakeholder/terminateonrequest/multiplecomponentsselected/termforsupplyingmissingdata/extendprocedureterm/registerdateenvironmentalpermitdecision/article34WABOapplies/assessmentofcontentcompleted,G/G/G/G/G/G/G/G/G/G/G/G,2013365/2013365/2013365/2013365/2013365/2013365/2013365/2013365/2013365/2013365/2013365/2013365,ArtificialStartTask/01HOOFD/08AWB45/01HOOFD/08AWB45/01HOOFD/05EIND/01HOOFD/08AWB45/06VD/01HOOFD/09AH/01HOOFD/ArtificialEndTask,Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend,1/1/1/1/1/1/1/1/1/1/1/1,Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw,EMPTY/EMPTY/EMPTY/EMPTY/True/False/False/EMPTY/False/EMPTY/False/EMPTY,EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY,560696/560696/560696/560696/560696/560696/560696/560696/560696/2013365/2013365/2013365,560673/560454/560454/560454/560454/560454/560454/560454/2013365/2013365/2013365/2013365,0/1/21/23/12/8/0/0/0/20/2/0/0/2,0/62/0/0/-62/62/0/0/0/22/0/0,0/62/0/0/0/0/0/0/20/2/0/0,89,84,84,3
0/0/0/0/0/0/0/0/0/0,01HOOFD010/04BPT010/01HOOFD0651/09AHI010/01HOOFD370/05EIND010/06VD010/01HOOFD4901/01BB540/01HOOFD790,registersubmissiondaterequest/MERpresent/sendprocedureconfirmation/article34WABOapplies/assessmentofcontentcompleted/terminateonrequest/extendprocedureterm/creatingenvironmentalpermitdecision/objectionlodgedagainstdecision/closecase,G/G/G/G/G/G/G/G/G/G,3148844/3148844/3148844/3148844/3148844/3148844/3148844/3148844/3148844/3148844,ArtificialStartTask/01HOOFD/04BPT/01HOOFD/09AH/01HOOFD/05EIND/06VD/01HOOFD/01BB/01HOOFD/ArtificialEndTask,Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend,1/1/1/1/1/1/1/1/1/1,Milieumelding/Milieumelding/Milieumelding/Milieumelding/Milieumelding/Milieumelding/Milieumelding/Milieumelding/Milieumelding/Milieumelding,EMPTY/False/EMPTY/False/EMPTY/False/False/EMPTY/False/EMPTY,EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY,560696/560696/560696/560696/560696/560696/560696/3148844/3148844/3148844,560741/560922/560922/560922/560922/560749/560749/560749/560749/560749,0/1/28/0/0/0/7/0/0/56/0/0,0/27/0/0/0/0/0/0/7/0,0/27/0/0/0/7/0/0/56/0,92,90,34,3
50.58/50.58/50.58/50.58/50.58/50.58/50.58/50.58/50.58/50.58/50.58/50.58/50.58/50.58/50.58,01HOOFD010/06VD0202/08AWB450202/01HOOFD1902/04BPT010/01HOOFD0651/06VD010/01HOOFD100/05EIND010/01HOOFD110/08AWB45010/01HOOFD130/08AWB45060/06VD070/08AWB450702,registersubmissiondaterequest/enterdatedecisionproceduretermextension/entersenddateretrievemissingdata/entersenddateprocedureconfirmation/MERpresent/sendprocedureconfirmation/extendprocedureterm/registrerdateofpublishingreceivedrequest/terminateonrequest/treatsubcasescompleteness/termforsupplyingmissingdata/WAWpermitaspect/keeppermanentlysuspended/entersenddatedecisionproceduretermextension/decisionpermanentlysuspended,G/G/G/G/G/G/G/G/G/G/G/G/G/G/G,560696/560696/560696/560696/560696/560696/560696/560696/560696/560696/560696/560696/560696/560696/560696,ArtificialStartTask/01HOOFD/06VD/08AWB45/01HOOFD/04BPT/01HOOFD/06VD/01HOOFD/05EIND/01HOOFD/08AWB45/01HOOFD/08AWB45/06VD/08AWB45/ArtificialEndTask,Aanvraagontvangen/Aanvraagontvangen/Aanvraagontvangen/Aanvraagontvangen/Aanvraagontvangen/Aanvraagontvangen/Aanvraagontvangen/Aanvraagontvangen/Aanvraagontvangen/Aanvraagontvangen/Aanvraagontvangen/Aanvraagontvangen/Aanvraagontvangen/Aanvraagontvangen/Aanvraagontvangen,1/1/1/1/1/1/1/1/1/1/1/1/1/1/1,BouwHandeleninstrijdmetregelsRO/BouwHandeleninstrijdmetregelsRO/BouwHandeleninstrijdmetregelsRO/BouwHandeleninstrijdmetregelsRO/BouwHandeleninstrijdmetregelsRO/BouwHandeleninstrijdmetregelsRO/BouwHandeleninstrijdmetregelsRO/BouwHandeleninstrijdmetregelsRO/BouwHandeleninstrijdmetregelsRO/BouwHandeleninstrijdmetregelsRO/BouwHandeleninstrijdmetregelsRO/BouwHandeleninstrijdmetregelsRO/BouwHandeleninstrijdmetregelsRO/BouwHandeleninstrijdmetregelsRO/BouwHandeleninstrijdmetregelsRO,EMPTY/EMPTY/EMPTY/EMPTY/False/EMPTY/True/EMPTY/False/EMPTY/EMPTY/False/True/EMPTY/EMPTY,Termijntotbesluitverlengd/Termijntotbesluitverlengd/Termijntotbesluitverlengd/Termijntotbesluitverlengd/Termijntotbesluitverlengd/Termijntotbesluitverlengd/Termijntotbesluitverlengd/Termijntotbesluitverlengd/Termijntotbesluitverlengd/Termijntotbesluitverlengd/Termijntotbesluitverlengd/Termijntotbesluitverlengd/Termijntotbesluitverlengd/Termijntotbesluitverlengd/Termijntotbesluitverlengd,560696/560696/560696/560696/560696/560696/560696/560696/560696/560696/560696/560696/560696/560696/560696,2013365/2013365/2013365/2013365/2013365/2013365/2013365/2013365/2013365/2013365/2013365/2013365/2013365/560741/560741,0/1/36/0/54/0/0/0/0/0/0/0/0/0/1/0/0,0/0/0/0/0/0/0/0/0/0/0/0/0/1/-1,0/0/0/0/0/0/0/0/0/0/0/0/0/1/0,92,1,1,3
269.3385/269.3385/269.3385/269.3385/269.3385/269.3385/269.3385/269.3385,01HOOFD010/05EIND020/01HOOFD015/06VD010/05EIND010/01HOOFD100/05EIND070/01HOOFD200,registersubmissiondaterequest/enterdateterminationrequestreceived/phaseapplicationreceived/extendprocedureterm/terminateonrequest/registrerdateofpublishingreceivedrequest/phaseprocedureaborted/requestcomplete,G/G/G/G/G/G/G/G,560696/560696/560696/560696/560696/560696/560696/560696,ArtificialStartTask/01HOOFD/05EIND/01HOOFD/06VD/05EIND/01HOOFD/05EIND/01HOOFD/ArtificialEndTask,Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken,1/1/1/1/1/1/1/1,BouwReclameSloop/BouwReclameSloop/BouwReclameSloop/BouwReclameSloop/BouwReclameSloop/BouwReclameSloop/BouwReclameSloop/BouwReclameSloop,EMPTY/EMPTY/EMPTY/False/True/EMPTY/EMPTY/True,EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY,560696/560696/560696/560696/560696/560696/560696/560696,560454/560454/560454/560454/560454/560454/560454/560454,0/1/84/12/0/0/0/0/0/0,0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0,97,0,0,3
0/0/0/0/0/0/0/0/0/0/0,01HOOFD010/04BPT010/01HOOFD0651/06VD010/05EIND010/01HOOFD050/09AHI010/01HOOFD375/01BB540/01HOOFD790/01BB770,registersubmissiondaterequest/MERpresent/sendprocedureconfirmation/extendprocedureterm/terminateonrequest/applicantisstakeholder/article34WABOapplies/phaseadviceknown/objectionlodgedagainstdecision/closecase/setphasephasepermittingirrevocable,G/G/G/G/G/G/G/G/G/G/G,560696/560696/560696/560696/560696/560696/560696/560696/560696/560696/560696,ArtificialStartTask/01HOOFD/04BPT/01HOOFD/06VD/05EIND/01HOOFD/09AH/01HOOFD/01BB/01HOOFD/01BB/ArtificialEndTask,Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend/Adviesbekend,1/1/1/1/1/1/1/1/1/1/1,Kap/Kap/Kap/Kap/Kap/Kap/Kap/Kap/Kap/Kap/Kap,EMPTY/False/EMPTY/False/False/True/False/EMPTY/False/EMPTY/EMPTY,EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY,560719/560696/560696/560696/560696/560696/560696/560696/560696/560696/560696,560749/560749/560749/560922/560922/560922/560922/560922/560749/560749/560749,0/1/4/0/10/0/0/0/0/81/0/0/0,0/0/0/0/0/0/10/0/0/0/81,0/0/0/10/0/0/0/0/81/0/0,96,91,91,3
